SK (De) : 3,7,3,0,3,3,7,7,3,0,7,3,3,0,3,0,1,3,1,0,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0
SK (Su) : 3,7,3,0,3,3,7,7,3,0,7,7,3,0,3,0,3,3,1,0,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0
SK (At) : 3,7,3,3,3,3,7,7,3,0,7,7,3,0,3,0,3,3,1,0,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0
GK (De) : 7,7,7,0,0,7,7,3,0,0,7,0,1,0,1,0,0,3,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
CWB (Su) : 0,7,7,0,3,0,0,0,0,7,7,0,7,7,0,1,0,0,0,1,0,3,0,5,1,3,0,5,5,1,1,0,0,5,5,0
CWB (At) : 0,7,7,0,3,0,0,0,0,3,3,0,7,7,0,1,0,0,0,1,0,3,0,5,1,3,0,5,5,1,1,0,0,5,5,0
WB (De) : 0,3,3,0,3,0,0,0,0,7,3,0,7,3,0,3,0,0,1,1,0,0,0,5,3,3,0,5,5,1,1,0,0,5,5,0
WB (Su) : 0,7,7,0,3,0,0,0,0,7,3,0,7,3,0,1,0,0,1,1,0,0,0,5,1,3,0,5,5,1,1,0,0,5,5,0
WB (At) : 0,7,7,0,3,0,0,0,0,3,3,0,7,7,0,1,0,0,1,1,0,1,0,5,1,3,0,5,5,1,1,0,0,5,5,0
WB (Au) : 0,7,7,0,3,0,0,0,0,7,3,0,7,3,0,1,0,0,1,1,0,0,0,5,1,3,0,5,5,1,1,0,0,5,5,0
IWB (De) : 0,0,0,0,3,0,0,0,0,3,7,0,7,3,1,3,0,1,1,3,0,0,0,5,3,3,0,5,5,1,0,0,0,5,5,3
IWB (Su) : 0,0,0,0,7,0,0,0,0,3,7,0,7,3,0,1,0,3,1,3,0,0,0,5,1,3,1,5,5,1,0,0,0,5,5,3
IWB (At) : 0,3,3,0,7,0,0,3,0,3,7,0,7,7,0,1,0,3,1,3,0,1,0,5,1,3,3,5,5,1,0,0,0,5,5,3
IWB (Au) : 0,3,3,0,7,0,0,3,0,3,7,0,7,7,0,1,0,3,1,3,0,1,0,5,1,3,3,5,5,1,0,0,0,5,5,3
IFB (De) : 0,0,3,0,3,0,7,0,0,7,3,0,7,3,1,1,1,1,1,1,0,0,0,5,3,0,0,5,5,1,0,1,0,5,5,3
FB (De) : 0,3,0,0,0,0,0,0,0,7,3,0,7,0,0,3,0,0,3,1,0,0,0,5,3,1,0,5,5,0,0,0,0,5,5,0
FB (Su) : 0,3,3,0,0,0,0,0,0,7,3,0,7,3,0,3,0,0,3,1,0,0,0,5,3,3,0,5,5,0,0,0,0,5,5,0
FB (At) : 0,7,3,0,3,0,0,0,0,7,3,0,7,3,0,3,0,0,1,1,0,0,0,5,3,3,0,5,5,1,0,0,0,5,5,0
FB (Au) : 0,3,3,0,0,0,0,0,0,7,3,0,7,3,0,3,0,0,3,1,0,0,0,5,3,3,0,5,5,1,0,0,0,5,5,0
NNFB (De) : 0,0,0,0,0,0,3,0,0,7,0,0,7,0,1,3,1,0,1,0,0,0,0,5,3,1,0,5,5,0,0,0,0,5,5,3
WCB (De) : 0,0,3,0,3,0,7,0,0,7,3,0,7,7,1,1,1,5,1,1,0,0,0,0,3,0,0,1,5,1,0,3,0,5,0,3
WCB (Su) : 0,3,7,0,3,0,7,0,0,7,3,0,7,3,1,1,1,5,1,1,0,0,0,1,3,0,0,1,5,1,0,3,0,5,1,3
WCB (At) : 0,7,7,0,3,0,7,0,0,7,3,0,7,3,1,1,1,5,1,1,0,0,0,3,1,0,0,1,5,1,0,3,0,5,3,3
